Ссылка на источник,Ссылка на пост,Текст поста,Коэффициент поста,Тема 1,Тема 2,Тема 3
https://www.facebook.com/bablorub,https://www.facebook.com/bablorub/posts/3500168530012038,"Что хорошего.
Агентство май закончило с прибылью, хоть и небольшой, но зато ни одного сокращения за время карантина. Клиенты возвращаются. Новые интересные клиенты заходят. Невиданное дело, мы начали нанимать новых сотрудников в почти все отделы.
Курсы SEO. Тут все стабильно. Лето просадка (а не карантин). Но в этом потоке опять представители знакового проекта в РФ. Если бы я вешал шильдики, кто у меня учился из инхаусов и сотрудников агентств (а это за 1000 человек, как мы подсчитали недавно), то вышла бы карта наверно 10-15% крупных компаний в РФ. Карту не делаем. Люди просто рекомендуют. И это прекрасно.
Кафе с открытием ТЦ вышло сначала на 25% от прежней выручки, сейчас потихоньку подбираемся к 40%. С учетом резки постоянных затрат и изменения схемы выплат переменных, убыток за июнь будет терпимым. Но нам нужно разрешение поставить столы.
Запустили в разработку проект по партнерской программе. Тест показал интерес к теме. Надеюсь, за 2-3 месяца выкатим MVP и начнем бета-тестирование. Аналогов в интернет-пространстве нет вообще. Но есть культура в народе (как были бомбилы в такси когда-то). Говоря проще, мы поставим откаты на промышленную основу и одновременно выведем их на цивилизованные рельсы.
Мусолим интересный новый проект в общепите. Если придем к соглашению и запустим, это будет прям вау. Что называется ""а что, так можно было?"".
Готовим конференцию. Заканчиваем формирование программы. Закупаем мерч. Продумываем планы Б. Успокаиваем участников. Если все сойдется, мы будем первыми, кто это сделает после карантина. Как всегда последние несколько лет. Просто потому что у нас лучшие участники в мире. Они нам верят. А мы верим им.
Дожимаю Литрес на публикацию ""Маркетинговых сказок"". Заминка по авторским правам на обложку. А так вроде все ок. Все сказки в одном файле + неопубликованный эпилог. Когда я его дописал, глаза были на мокром месте.
Спорю со старшей дочерью, которой доверил нарисовать обложку для другой книги, которую планировал выпустить на author.today поглавно. Она уперлась и править не хочет. А я не готов поставить именно такой рисунок. Может я и не прав. Нужна фокус-группа, наверно. Кстати, она закончила школу (на домашнем обучении), в аттестате четверки и пятерки. Спрашивала вчера, кроме подставки под кофе он годится на что-то?
Третья книга замерла на 120к знаках. Придумал феерический ломающий всю логику повествования конец, но надо сделать хорошее тело в середине. И там не все складывается. Думаю.
Пошла клубника. Пока по литру в день. Дети счастливы. Заплодоносил голубичный куст на третий год после посадки. Черешни литр-два соберем. Смородины мало. Вишни тоже в сравнении с годом ранее. Зато малины будет валом, хоть куст и один всего. Более того, с нее что-то нападало на землю и теперь у нас еще 4 детеныша малины выросли. Ежевика ожила, как в тень пересадил, жду стакан ягод в этом году.
А посты в фб это так, когда свободная минутка выдается. Знаю же, что обсуждаете. :)
Кстати, число подписчиков пробило отметку в 10000, и каждый пост, по моей оценке, появляется на устройствах от 3 до 100 тысяч человек, зависит от числа комментариев и репостов. Меня читают родственники моих подписчиков. Это вообще огонь.",,Бизнес справился с кризисом,Перспективы развития,"Успехи, достижения бизнеса"
https://www.facebook.com/bablorub,https://www.facebook.com/bablorub/posts/3499145196781038,"Это просто огнище! Бизнес пинками загоняют в серую зону все дальше и дальше.
https://www.znak.com/2020-06-17/obyazannost_platit_zarplaty_v_nerabochie_oplachivaemye_dni_zakrepyat_v_trudovom_kodekse",,Административные препятствия для бизнеса,,
https://www.facebook.com/pavel.volodin.35,https://www.facebook.com/pavel.volodin.35/posts/3010471369072559?comment_id=3010471679072528,"Зарплата
 высококвалифицированных работников будет снижаться, потому что будет 
переизбыток высококвалифицированных работников на рынке труда. Так 
говорят наши «любимые» власти. Лично моё мнение – зарплата 
высококвалифицированных работников будет снижаться, потому что кое-кто 
(не будем показывать пальцем кто, это и так очевидно) не исполнил своего
 обещания создать 25 миллионов рабочих мест в технологических и 
инновационных отраслях промышленности. Но законы логики неумолимы. При 
растущей экономике часто ощущается дефицит кадров. А у нас их избыток. 
Поэтому все бла-бла-бла про рост экономики – это красивые фантики. 
Кстати, а куда денутся те высококвалифицированные работники, которые не 
найдут работу? Многие уедут работать на благо экономик других 
государств. А это следующая петля деградации экономики…",,Отсутствие реформ,,
https://www.facebook.com/EkaterinaRumyantseva.Kalinka,https://www.facebook.com/EkaterinaRumyantseva.Kalinka/posts/3017636781689814,"Обещала я вам рассказать о моей настольной книге? Конечно, их несколько, они меняются. Сейчас перечитываю «Взрывной рост» Салима Исмаила. Он пишет о том, к чему мы в Калинке интуитивно пришли уже давно. Мир меняется — но уже не теми темпами, что раньше. Сейчас он и вовсе перевёрнут вверх дном. Единственная правильная стратегия для бизнеса в этом новом, странном, пугающем неопределённостью мире — постоянное тестирование гипотез, поддержка стартапов. Не всех подряд, тех, в которые веришь, ставя себя на место своего клиента.
▪
Важно: если ты перестаёшь тестировать гипотезы и переходишь на аксиомы — у тебя нет будущего. Каждый день надо искать новые формы общения с клиентами, новые услуги, новые идеи.
▪
Я ищу — и нахожу. Из найденного не так давно: решили принимать участие в аукционах Литфонда. Этот уважаемый аукционный дом давно и успешно продаёт антикварные книги, живопись, графику и предметы декоративно-прикладного искусства, проводит около 50 аукционов в год в Москве и Санкт-Петербурге.
▪
И этой весной Литфонд открыл новое направление — недвижимость. Уже первый онлайн-аукцион показал отличные результаты: было выставлено 10 лотов, из которых 3 были проданы, причём один из них ушёл за цену, в 2,5 раза превысившую эстимейт. Это шедевральная (без преувеличения) квартира в знаменитом доме Довлатова на улице Рубинштейна в Петербурге, 150 квадратных метров чистого дизайна. Искренне завидую победителю, получившему в собственность этот лот.
▪
Мы будем участвовать в следующем аукционе, в июле. Выставим объекты на 1,2 млрд рублей. И да, там будут совершенно уникальные лоты, не пропустите! Всех секретов сейчас раскрывать не буду, немного поинтригую вас. Но конечно, потом не утерплю и расскажу, время позволяет.
▪
Надеюсь, вы уже включили это событие в ваши планы на лето? Вот и отлично, не забудьте подписаться на мой блог, если ещё не подписаны. И регистрируйтесь на аукцион на сайте Литфонда: https://www.litfund.ru/registration/
Правила регистрации для участия в торгах:
Вам необходимо зарегистрироваться на те торги, в которых вы хотите принять участие. При регистрации необходимо предоставить ваши контактные данные, заполнив регистрационную форму на сайте Литфонда. При персональной регистрации необходимо иметь удостоверение личности и предоставить ваши контактные данные, заполнив регистрационную форму у ресепшиониста. Устроитель аукциона вправе по своему усмотрению затребовать выписки со счетов и другие финансовые документы, подтверждающие платежеспособность участника аукциона.
Если вы регистрируетесь в первый раз, то вам необходимо внести обеспечительный платеж в размере 100 000 рублей на расчетный счет Аукционного дома. Обеспечительный платеж для участия в аукционе служит обеспечением исполнения обязательства победителя аукциона по заключению договора купли-продажи и оплате приобретенного на торгах имущества. Обеспечительный платеж возвращается всем участникам аукциона, кроме победителя, в течение 5 (пяти) календарных дней с даты подведения итогов аукциона. Обеспечительный платеж, перечисленный победителем аукциона, возвращается по факту заключения договора купли-продажи.",,Необходимость адаптироваться под новые условия,,
https://www.facebook.com/EkaterinaRumyantseva.Kalinka,https://www.facebook.com/EkaterinaRumyantseva.Kalinka/posts/3012250438895115,"#этотдень
...настал. Мы снова в любимом офисе! И хотя обниматься пока нельзя, над масками у всех счастливые глаза. Да, не расслабляемся: ведь о победе над вирусом говорить пока рано. Вокруг твердят, что мы вышли на плато, но число смертей с подтверждённым ковидом и в Москве, и в целом по России то падает, то вновь начинает расти. И если не принимать защитных мер, то карантин придётся вводить снова, и очень скоро.
▪
Но уже можно стричься, ходить и ездить повсюду без пропусков —и работать, как раньше. Это радует больше всего. Хоть лично я и восприняла время карантина со смирением и нашла в нем внутренний покой, возможность побыть наедине с собой, много читать, много молиться — всё же свобода передвижения бесценна. Это как разговение после поста: взрыв эмоций от самых простых вещей и процессов. Живые люди, мои дорогие сотрудники, партнёры — и не на экране, а в одной комнате со мной! Оказывается, это дорогого стоит. Вот уж правда: надо испытать жажду, чтобы напиться.
▪
Тем временем премиум-рынок оживает. За первый же бескарантинный день нам в колл-центр поступило втрое больше звонков, чем в самые урожайные — а такие случались — дни апреля и мая. И звонят качественные клиенты, которые ждали этого дня. Кстати, активность на загородном рынке продолжается, хотя мы ожидали, что в июне она традиционно спадёт. Но нет, те, кому не повезло снять хороший дом на лето, начали рассматривать длительную аренду, а некоторые переориентировались на покупку, чтобы не испытывать проблем с поиском каждый год. Ренессанс, как я и говорила!
▪
Городскую недвижимость тоже активно смотрят, запросов на консультации много, нам есть чем порадовать застройщиков. Прибавилось инвесторов, но это неудивительно: ведь наш Клуб инвесторов стал настоящей точкой притяжения, и мы на вебинарах и на других площадках — в том числе и я в этом самом блоге — много рассказывали о новых инвестиционных возможностях, возникающих прямо сейчас в связи с наступлением кризиса, на котором можно и нужно заработать.
▪
Работаем! В ближайших сериях расскажу вам про миллиард рублей на аукцион, о своей настольной книге и о ваших планах на лето. Ставьте лайк, если вам это интересно, а мой блог в приоритет, чтобы ничего не пропустить.",,"Успехи, достижения бизнеса",Вера в светлое будущее и преодоление временных трудностей,
https://www.facebook.com/tatulova,https://www.facebook.com/tatulova/posts/3072997756111236,"Самое сложное для меня чувство это бессилие. Не знаю как у вас - у меня прямо зубы крошатся когда я так чувствую.
Парадом сегодня завершается коротенькая рабочая неделя из двух дней, на которой нашлась ещё одна национальная идея ( первая желание лежать на печи за зарплату) .
Вчера Президент объявил увеличение налога НДФЛ до 15%.
‼️Не путать с прогрессивной шкалой. ( прогрессивная это снизить в стартовой точке и увеличить в конечной. Здесь нет. Это про другое)
✅ Это реализация великой национальной идея: отнять у богатых и отдать бедным. И не просто бедным.
А бедным и больным детям.
Тут тоже масса художественных произведений было. На которых нация воспитана.
Мальчиш-плохиш, буржуины, Павлик Морозов, «Берегись автомобиля» ну и бессмертный самый подходящий к этой ситуации «Союз меча и орала» из 12 стульев.
Дети вас не забудут.
В общем вернулись к истокам.
Мало кто за границами фб задумается о том , что до сих пор помощь больным детям оказывалась фондами. И уверена что дальше так и будет.
А деньги у фондов брались не от государства. Нет. Ни вместо парадов, ни из зарплат Роснефти, ни вместо содержания различных надзорных органов . нет.
Из содержания фондов предпринимателями и впахивающими сотрудниками. У которых надо отнять и поделить.
И мы же понимаем, что налоги сами за себя сотрудники у нас не платят. Их компании платят.
За сотрудников.
Государство не может осилить пару лет отмену запрета на ввоз лекарств для детей с СМА, но это оказывается у них просто денег не было.
А тут уж заживем.
Отнимем и поделим. Но скорее просто отнимем.
🔥”Раскулачивание как инновационный метод социальной ответственности"" с* Саша Бабкина
Как иллюстрация вечности этой темы для нашей страны - две открытки внизу. Они реальные, российские.
Из архивов.
Одна 1923 года, вторая 1957 года.
С праздником вас, очередным.
Пойду поработаю.
Ваш капиталист.",,Отсутствие реформ,,
https://www.facebook.com/tatulova,https://www.facebook.com/tatulova/posts/3066453150099030,"Сидела работала под «Своя игра» на НТВ. Смотреть невозможно, программа через каждые 15 минут прерывается истерической рекламой поправок.
Звёзды разных величин рассказывают что именно новая замечательная конституция спасёт:
- нашу медицину
- наше образование
- наших детей
И вот прям здесь огонь: она даст нам право на труд. Ну наконец-то.
Мы почему раньше то так себе жили - это у нас конституция мешала нам медициной и образованием заниматься, работать как китайцы, бизнес развивать как в Сингапуре.
Все как в мультике « это у нас велосипеда не было...»
Ща заживем.
Но прорыв в сознании у меня произошёл не в этом даже.
Мне кажется я поняла главное - почему такой поддержкой пользуются те , кто сейчас у власти. И знаете что - они очень умные.
Дело не в президенте, дело в мечтах жителей нашей великой страны. В нас самих. Нам дали нашу мечту.
Последние три месяца примерно 60-ти % ( судя по официальной статистике) гражданам нашей родины удалось осуществить все о чем мечталось с русских сказок и периода МММ до сегодняшнего дня : бездельничать дома за деньги.
🔥тридцать лет и три года лежал Иван на печи.
🔥по щучьему велению по моему хотению
🔥хочется есть , да не хочется лезть
🔥мы сидим, а денежки идут
И много ещё ...
Так наша страна добилась того о чем много лет лет мечтали миллионы россиян. Чем не национальная идея.
Давно пора праздник сделать, день русской лени. Каждая первая среда месяца.",,Отсутствие реформ,,
https://www.facebook.com/profile.php?id=100002203095543,https://www.facebook.com/permalink.php?story_fbid=3106354772781262&id=100002203095543,"Правительство притихло с мерами поддержки бизнеса, все поручения Президента либо выполнены, либо находятся на стадии проработки, бизнес начинает оживать, выходят из самоизоляции и те, кто в этот период не самоликвидировался, озадачились реализацией условий работы своих офисов, производств, складов, цехов.
Пока чиновники, творящие постановления и законопроекты, дремлют в московском летнем солнце, РПН (Роспотребнадзор) не дремлет и клепает рекомендации по .... ужас, я не смогу это длинное название воспроизвести... в общем, профилактике коронавируса в гостиницах и иных местах... ой, нет, средствах размещения.
Эти рекомендации зарегистрированы в ведомстве г-жи Поповой за длинным чиновьичьим номером МР3.1/2.1-0187-20, а утверждены они аж 27 мая 2020 года.
Вместо прелюдии.
У меня вопрос : эти странные люди из РПН отдают себе отчет в том, что выполнение всех этих рекомендаций приносит гостиницам и иным ""средствам размещения"" не прибыли, а убытки?
Вот на эту всю хрень из 30 пунктов нужны средства и 12130 рублей субсидии на 1 сотрудника гостиницы или иного ""средства размещения"" не хватит и кредита по ставке 2% из расчета 12130 на одного сотрудника хватит разве что на покупку дизенфицирующих средств и один день оплаты штрафных санкций, которые РПН обещал ""драть"" с бизнеса.
В общем, РПН предлагает:
- обеспечивать пятидневный запас антисептиков и размещение их во всех общественных местах гостиниц и иных ""средств размещения"",
- проводить дезинфекцию не реже 1 раза в 2 часа, проводить обеззараживание с использованием специальных устройств,
- бесконтактное измерение температуры всех прибывающих,
- при допуске к работе персонал проверять на коронавирус,
- менять маски каждые 3 часа, перчатки по мере запачкивания или повреждения,
- выделить спецпомещение для питания сотрудников,
- установить прозрачные стеклянные конструкции, обеспечить бесконтактным открыванием дверей,
- обеспечить все номера в средствах размещения собствеными санузлами,
- проинформировать гостей о проветривании 1 раз в 2 часа,
- декоративные подушки и покрывала убрать, нанести сигнальную разметку на полу,
- мыть посуду в посудомойках и при температуре хотя бы 65 градусов и не меньше 90 минут,
- организовать сбор пластиковой посуды,
- обработку шезлонгов проводить после каждого гостя,
ну и вишенка на торте - размещение в номерах преимущественно семейное или одноместное.
Чиновники РПН дали комментарий федеральным СМИ на тему заселения семейных пар: ""рекомендуется не заселять в номера людей, не контактирующих друг с другом в обычной жизни, чтобы избежать дополнительных рисков инфицирования при тесном контакте. Эта мера является рекомендательной и доказывание семейного статуса не относится к компетенции РПН (тут я заволновалась). Принятие решения о предоставлении номеров и их заполнении полностью входит в сферу ответственности руководства гостиницы (и здесь уже отлегло)"".
Представитель РГА комментирует мысли чиновников так:
""Селить в один номер можно не только членов одной семьи. Может заехать пара, не обязательно муж и жена, а, например, жених и невеста, естественно они также должны быть в одном номере. Также вместе могут проживать друзья, которые постоянно общаются и вместе летели. Они же и питаться будут за одним столом. Также гость может заселиться в один номер с сопровождающим лицом. А сопровождающим может быть кто угодно. Конечно же, гостиницы не будут спрашивать каких-то документов, а просто сами будут определять, как заселять гостей. Если те приехали вместе, то и поселить их могут в одном номере"".
Что они курят?... может, в соответствии с Постановлением 616 от 30.04.2020 запретить ввоз в страну в целях государственных и муниципальных закупок эти странные средства, которые такие мыслеформы рождают в голове чиновников?",,Бизнес справился с кризисом,Нелогичность ограничительных мер,
https://www.facebook.com/profile.php?id=100002203095543,https://www.facebook.com/permalink.php?story_fbid=3133538140062925&id=100002203095543,"Продолжается познание дебрей отношений между налогоплательщиками и ИФНС при посредничестве хартии.
Вчера писала о том, что одному из клиентов пришло требование из ИФНС в рамках статьи 88. Документ содержал предложение рассмотреть возможность вступления в Хартию, объединяющую добросовестных грузоперевозчиков.
Побродив по предложенному в требовании сайту, я решила позвонить и уточнить детали. Ведь в требовании было сказано, что на сайте можно найти образец отчета, который мы будем подавать ежемесячно в ИФНС, а взамен нам предлагалось не дербанить нас требованиями в рамках статьи 93 НК РФ.
Увы, телефона на сайте я не нашла, зато есть адрес электронной почты. Через сутки после моего письма пришел ответ, содержание которого вот такое:
Для обеспечения единообразного подхода к обелению операций по организации автомобильных грузоперевозок в АПК просим Вас заполнять и присылать в ФНС отчёт.
Отчёт еженедельный.
Срок представления - среда недели, следующей за отчётной. Включаются данные на основании принятых Заказчиками отчетов агентов/экспедиторов за прошедшую (отчетную) неделю.
Отчет представляется в электронном виде по прилагаемой форме, далее адреса электронной почты двух сотрудников ФНС.
При отсутствии отчетов информация и документы будут запрашиваться по требованию налоговых органов в соответствии со статьей 93 НК РФ, что приведет к увеличению документооборота и рискам наступления ответственности за нарушение сроков.
Если агент закупает зерно на условиях доставки до склада принципала, то агент также перевыставляет в пользу приниципала транспортные услуги по рекомендованным правилам и конструкциям и также заполняет отчеты по автоперевозке по образцу.
Какой незамысловатый шантаж....
Форму отчета я тоже получила. Она в форме таблицы с 15 графами.
Продолжается обеление бизнеса. За счет таких вот выкрутасов мы очень быстро придем к государственному капитализму с нечеловеческим лицом. А если учесть, что бОльшая часть населения все же готова голосовать 1 июля ""за"" лишь потому, что обещают счастливое будущее в заботе о детях, о счастливом браке между мужчиной и женщиной, о здоровье, о единой и неделимой стране (что мешает претворять эти принципы не изменяя основной закон в период повышенного эпидемиологического риска?) то можно продолжать чмурить бизнес таким незамысловатым способом и дальше. Он всё стерпит, ибо хочет есть.
Для системных решений нужны мозги, воля, желание жить там, где живешь сейчас, видение перспектив, расширенное сознание, глубина познаний в бизнесе, в том как он устроен, почему он уходит от налогов, на чем он стоит, куда идёт и зачем он нужен государству (если не брать в расчет источник пополнения бюджета).
Если этого понимания нет, а главное - нет желания, то и работа с бизнесом идет именно так, как мы это видим. Он не источник доходов в бюджет и не механизм поддержания занятости свободного населения, а источник проблем. Его обязательно надо запугать, зацифровать, обеспечить работой да такой, чтобы головы не поднял и не посмел даже вякнуть, что ему нужно эффективное, понятное и простое администрирование.
Минфин насмерть стоит против увеличения порога применения спецрежима, в ЕНВД он видит корень зла, уменьшать НДС для отраслей, у которых большая доля безНДСных расходов, он не готов, ибо это приводит здесь и сейчас к выпадению доходов бюджета, а дальше своего носа он не видит. Да и зачем, если прямо сейчас зарплата идет на карту стабильно два раза в месяц, под попой служебный мерседес, особняк в лесу на Новой Риге и всегда свободный для проезда Кутузовский. Чего ему еще надо?...
Все глобальные экономические решения принимаются одним лицом, кабинет чиновников только кивает головой и выполняет, быстро клепая сотни постановлений, которые также быстро потом поправляет, ибо что-то забыли, пропустили. Все радушно кивают и одобряют беспрецедентные меры поддержки и граждан, и бизнеса, а особо рвущиеся не стесняются в выражениях, оскорбляя людей, которые ежедневно сами добывают себе на жизнь и помогают это делать сотням и тысячам других людей.
Опыт взаимодействия бизнеса и фискальных органов через посредника в виде хартии будет однозначно признан успешным, весь МСП загонят в профильные хартии, бухгалтерия начнет отчитываться еженедельно о том, сколько, кому, когда отвезла по специальной форме, чтобы было удобно налоговому органу быстро анализировать данные, иначе она (инспекция) задерёт до смерти вашу бухгалтерию требованиями на 3 листах в рамках резиновой статьи 93 НК РФ и вы захлебнетесь в бумажках.
Цифровизация, говорите?
Цифровое рабство во всей его красе.
Получите, распишитесь, ешьте, балдейте. Только не подавитесь.",,Административные препятствия для бизнеса,Отсутствие реформ,
https://www.facebook.com/profile.php?id=100002203095543,https://www.facebook.com/permalink.php?story_fbid=3130791573670915&id=100002203095543,"Вы еще не в хартии? Тогда мы идем к вам!
Листаю сегодня почту, вижу требование из ИФНС, которое прислал бухгалтер по одному из проектов.
Открываю документ, сверху как обычно: требование... на основании статьи 88.... выявлены расхождения...какие расхождения? у нас всё идеально....в рамках проведения мероприятий налогового контроля....а также установления факта транспортным и экспедиционных услуг сельхозпроизводителям... дальше мои глаза округляются, рот открывается, я откидываюсь в кресле и медленно сползаю вниз: просим рассмотреть вопрос вступления в хартию на сайте.... Ознакомьтесь с презентацией, информацией. А об ознакомлении с документами хартии просим ответить в сроки, указанные в требовании.
Бля! Что это!??!
Зашла на сайт рекомендованной хартии.
На главной странице - миссия: восстановить добросовестную конкуренцию на всём рынке грузовых перевозок автомобильным транспортом, сформировать нетерпимое отношение к компаниям, нарушающим налоговое, административное и отраслевое законодательство РФ.
Ок. Я против? Нет! Ни разу не против.
Но:
Дальше в требовании налоговый орган в лице инспектора предлагает в ответ на требование сообщить об ознакомлении с указанными документами и принятом решении о вступлении в Хартию и любезно сообщает о том, что если мой клиент откажется от вступления в Хартию и ежемесячного представления отчета нам придется предоставить следующую информацию и документы:
- договоры (с приложениями, дополнениями, изменениями, спецификациями) с заказчиками и исполнителями;
- товарно-транспортные накладные;
- штатную расстановку в отношении водителей;
- договоры аренды/лизинга автотранспортных средств; - отчеты агента;
- карточки расчетов, а также иные документы, содержащие информацию об отражении операций на счетах бухгалтерского учета (хм...как это связано с функциями налогового контроля, если это про бухгалтерский учет, а не про налоговый. Но, видимо, налоговики об этом не знают).
Дальше идет напоминание про существование статей 31, 23, 126 НК РФ и статьи 19.4 КОаП.
Что это за беспредел?
Впервые об этом интересном методе обеления бизнеса я узнала в прошлом году в Воронеже, где проводила мозговой штурм для строительного холдинга. Руководитель компании за чаем посетовала на то, что налоговый инспектор в разговоре с глазу на глаз рекомендовала вступить в Хартию АПК, чтобы не не отвечать на ежеквартальные (!) требования по статье 88 и 93.
Это что за шантаж?
Да, я знаю, что наравне со строительным сектором, охранным бизнесом, клинингом, рекламщиками, полиграфистами и другими секторами МСП логисты занимаются оптимизацией налогов.
Но где у этих людей мозги и почему эти мозги куриные?
Доколе будет продолжаться это издевательство над бизнесом?
Почему попытки обелить бизнес происходят не на почве обдуманного перераспределения налогового бремени и предоставления льгот, снижения ставок по налогу, а вот таким, наглым, циничным способом вытягивают у предпринимателей налоговые выплаты в бюджет, который потом нещадно пилится и вывозится из страны, а на лечение детей вся страна собирает sms-ками? Почему люди, ни разу не бывшие предпринимателями, руководителями небольших компаний, считают возможным доить и, прикрываясь налоговым кодексом и правом выслать требование, опираясь на общие формулировки НК РФ, решают как нам, руководителям, платить налоги и загоняют нас в ловушку?
Либо вступай в Хартию и сдавай в ИФНС отчет ежемесячно, либо отвлекай от работы бухгалтеров, экономистов, секретарей, пусть садятся и сканируют кучу документов. И ведь это делать надо будет ежеквартально. А в инспекции никто на эти документы не посмотрит даже. Но ты продолжай тратить свое время на всякую хрень, если хочешь вести бизнес ...
Злая...",,Административные препятствия для бизнеса,,
